"","from","to"
"233","ACTG1","DSTN"
"234","ACTG1","SRPK2"
"235","ACTG1","TMSB4X"
"236","ACTG1","WIPF1"
"237","ACTG1","CTBP2"
"238","ACTG1","WASL"
"239","ACTG1","MLH1"
"240","ACTG1","COTL1"
"241","ACTG1","CTTN"
"242","ACTG1","PFN2"
"243","ACTG1","EIF6"
"244","ACTG1","ST3GAL3"
"245","ACTG1","PRSS23"
"246","ACTG1","MYOC"
"247","ACTG1","APOE"
"248","ACTG1","GIT2"
"249","ACTG1","CAP1"
"250","CFL1","CFL2"
"251","CFL1","RAD21"
"252","CFL1","UCHL5"
"253","CFL1","YWHAQ"
"254","CFL1","APP"
"255","CFL1","EGFR"
"256","CFL1","PTEN"
"257","CFL1","HSPH1"
"258","CFL1","PSEN1"
"259","CFL2","CAP2"
"260","CFL2","DSTN"
"261","CFL2","STK11"
"262","CAP2","PRPF40A"
"263","CAP2","YWHAE"
"264","CAP2","CAP1"
"265","DSTN","TAX1BP1"
"266","ACTN4","KPNA2"
"267","ACTN4","HGS"
"268","ACTN4","STAT1"
"269","ACTN4","UCHL5"
"270","ACTN4","RARA"
"271","ACTN4","HDAC7"
"272","ACTN4","TXN"
"273","ACTN4","EGFR"
"274","ACTN4","HSPB1"
"275","ACTN4","SLC9A3R2"
"276","ACTN4","MEF2A"
"277","ACTN4","PDLIM1"
"278","ACTN4","RPS27"
"279","ACTN1","OAS1"
"280","ACTN1","KPNA2"
"281","ACTN1","PSMA1"
"282","ACTN1","NR1H3"
"283","ACTN1","PYGB"
"284","ACTN1","SORBS2"
"285","ACTN1","ZYX"
"286","ACTN1","PDHX"
"287","ACTN1","NUMBL"
"288","ACTN1","GIPC1"
"289","ACTN1","CSRP1"
"290","ACTN1","ITGB1"
"291","ACTN1","CLU"
"292","ACTN1","HSPB1"
"293","ACTN1","KAT2B"
"294","ACTN1","ATXN2"
"295","ACTN1","GTF2H1"
"296","ACTN1","DAG1"
"297","ACTN1","PSEN1"
"298","ACTN1","TUBA1A"
"299","ACTN1","GIT2"
"300","ACTN1","PTPN1"
"301","ACTN1","PDLIM1"
"302","ACTN1","RPS27"
"303","OAS1","TRIM27"
"304","OAS1","RPL30"
"305","OAS1","WBSCR22"
"306","SP100","UBE2I"
"307","SP100","AMOTL2"
"308","SP100","RBM39"
"309","SP100","SUMO1"
"310","SP100","MX1"
"311","SP100","SUMO3"
"312","SP100","SUMO2"
"313","SP100","LZTR1"
"314","SP100","CBX1"
"315","SP100","CBX3"
"316","SP100","PML"
"317","SP100","RANBP2"
"318","SP100","TERF2IP"
"319","SP100","TERF2"
"320","SP100","NIPBL"
"321","SP100","CREM"
"322","PDLIM3","RHOU"
"323","PLEKHG2","RHOA"
"324","PLEKHG2","CDC42"
"325","PLEKHG2","RAC1"
"326","PLEKHG2","APP"
"327","PLEKHG2","GNB1"
"328","PLEKHG2","GNG2"
"329","ACY1","NPM1"
"330","ACY1","TTC1"
"331","ACY1","APP"
"332","ADD1","PKM"
"333","ADD1","ZDHHC17"
"334","ADD1","MAP1LC3B"
"335","ADD1","CSNK2B"
"336","TFCP2","SDCBP"
"337","TFCP2","TCEA2"
"338","TFCP2","CDC73"
"339","TFCP2","PHF1"
"340","TFCP2","MORF4L1"
"341","TFCP2","SUMO1"
"342","TFCP2","PPIG"
"343","TFCP2","ZCCHC10"
"344","TFCP2","BAG6"
"345","TFCP2","NEDD9"
"346","TFCP2","PSMD5"
"347","TFCP2","MOB3C"
"348","TFCP2","EIF5B"
"349","TFCP2","TRAPPC12"
"350","TFCP2","NABP1"
"351","TFCP2","PPP1R1B"
"352","TFCP2","MVP"
"353","TFCP2","HDAC2"
"354","TFCP2","HDAC1"
"355","TFCP2","GABARAP"
"356","TFCP2","MAPK1"
"357","TFCP2","YY1"
"358","TFCP2","MAPK14"
"359","TFCP2","POLR3GL"
"360","TFCP2","RBMS1"
"361","TFCP2","NPEPL1"
"362","TFCP2","UBP1"
"363","AP2B1","SLC25A6"
"364","AP2B1","KPNA2"
"365","AP2B1","U2AF1"
"366","AP2B1","RAPGEF3"
"367","AP2B1","TXN2"
"368","AP2B1","AFF4"
"369","AP2B1","ARRB2"
"370","AP2B1","AP1M1"
"371","AP2B1","ATP6V1G1"
"372","AP2B1","MLH1"
"373","AP2B1","NUP54"
"374","AP2B1","KIAA0408"
"375","AP2B1","AP2M1"
"376","AP2B1","CLTC"
"377","AP2B1","TGFBR2"
"378","AP2B1","GTF2I"
"379","AP2B1","ITSN1"
"380","AP2B1","HSPB1"
"381","AP2B1","CLINT1"
"382","AP2B1","TERF2IP"
"383","AP2B1","POM121"
"384","AP2B1","NECAP2"
"385","AP2B1","MEA1"
"386","SLC25A6","TRIP6"
"387","SLC25A6","LZTS2"
"388","SLC25A6","PLSCR1"
"389","SLC25A6","KARS"
"390","SLC25A6","VIM"
"391","SLC25A6","CHGB"
"392","SLC25A6","PRSS23"
"393","SLC25A6","STRN4"
"394","KPNA2","GRB2"
"395","KPNA2","RBPMS"
"396","KPNA2","TSC22D4"
"397","KPNA2","LZTS2"
"398","KPNA2","ZBTB7B"
"399","KPNA2","NUP62"
"400","KPNA2","MAGED1"
"401","KPNA2","DDIT3"
"402","KPNA2","HNRNPC"
"403","KPNA2","FN1"
"404","KPNA2","FTH1"
"405","KPNA2","INO80E"
"406","KPNA2","IFT20"
"407","KPNA2","SPRY1"
"408","KPNA2","DCTN2"
"409","KPNA2","MLH1"
"410","KPNA2","SERTAD3"
"411","KPNA2","S100A6"
"412","KPNA2","RAC1"
"413","KPNA2","RAN"
"414","KPNA2","RELA"
"415","KPNA2","TANK"
"416","KPNA2","MAGEH1"
"417","KPNA2","CDK5RAP3"
"418","KPNA2","MVP"
"419","KPNA2","SGK1"
"420","KPNA2","APP"
"421","KPNA2","CREBBP"
"422","KPNA2","IMMT"
"423","KPNA2","TAF10"
"424","KPNA2","JUN"
"425","KPNA2","MYC"
"426","KPNA2","RANBP2"
"427","KPNA2","CSE1L"
"428","KPNA2","KPNB1"
"429","KPNA2","RILP"
"430","KPNA2","CUL4B"
"431","KPNA2","ARL4A"
"432","KPNA2","RECQL"
"433","KPNA2","FEZ2"
"434","KPNA2","LAMB2"
"435","KPNA2","BTBD2"
"436","KPNA2","ARL5A"
"437","KPNA2","CCDC107"
"438","KPNA2","CORO1B"
"439","KPNA2","GART"
"440","U2AF1","MFAP1"
"441","U2AF1","SRPK2"
"442","U2AF1","RBM10"
"443","U2AF1","U2AF2"
"444","U2AF1","HNRNPK"
"445","U2AF1","RNPS1"
"446","U2AF1","SNRPD1"
"447","U2AF1","ZCCHC10"
"448","U2AF1","NXF1"
"449","U2AF1","SRSF2"
"450","U2AF1","HNRNPM"
"451","U2AF1","PRPF40A"
"452","U2AF1","CIR1"
"453","U2AF1","SF3B2"
"454","U2AF1","JMJD6"
"455","U2AF1","SRSF1"
"456","U2AF1","NDN"
"457","U2AF1","PABPC1"
"458","U2AF1","VEGFA"
"459","U2AF1","ZRANB2"
"460","U2AF1","PRPF19"
"461","U2AF1","DHX38"
"462","RAPGEF3","PNMA1"
"463","RAPGEF3","RAP1A"
"464","RAPGEF3","RAP2A"
"465","RAPGEF3","PDE3B"
"466","TXN2","TRIP6"
"467","TXN2","AGTRAP"
